title,rating,duration,year,Action,Adventure,Animation,Biography,Comedy,Documentary,Drama,Family,Fantasy,History,Horror,Musical,Mystery,RealityTV,Romance,SciFi,Thriller,War,Western
The Red Skelton Show ,7.3,420,2012,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cutie and the Boxer ,6.6,720,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Nostalgia Critic Sailor Moon ,6.3,840,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lawless - Die Gesetzlosen ,6.7,840,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parker ,5.8,900,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Top Gear Episode #20.2 ,7.6,900,2012,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21 Jump Street ,6.6,1080,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portlandia Missionaries ,7.5,1080,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Any Questions for Ben? ,5.4,1200,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oblivion ,6.4,1200,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shark Tank Episode #4.19 ,6.8,1260,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Who the 'Ell Is Tauriel? ,7.6,1260,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reality ,6.2,1320,2012,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Into the White ,6.5,1320,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family Guy Space Cadet ,7.1,1320,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Nostalgia Critic The Top 11 Awesome Movie Themes ,7.2,1320,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Highway ,7.2,1320,2012,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Brooklyn Nine-Nine Old School ,7.4,1320,2012,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nada Tenho de Meu ,7.4,1320,2012,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parks and Recreation Ms. Knope Goes to Washington ,7.4,1320,2012,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Teenage Mutant Ninja Turtles ,7.6,1320,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hannibal ,7.6,1320,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chelsea Lately Episode #6.135 ,7.7,1320,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kon-Tiki ,6.7,1380,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Universal's Cinematic Spectacular: 100 Years of Movie Memories ,7.7,1380,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Homefront ,6.1,1560,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ParaNorman ,6.4,1620,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Budapest Hotel ,7.6,1680,2012,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Graceland O-Mouth ,7.4,1740,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
White House Down ,6.1,1800,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Im August in Osage County ,6.7,1800,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Disconnect ,7.1,1800,2012,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Side by Side ,7.1,1800,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Out of My Dreams: Oscar Hammerstein II ,7.2,1800,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Return of the First Avenger ,7.5,1800,2012,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Saints Row IV ,7.5,1800,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Smashing UK Top 10 ,7.5,1800,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Dark Knight Rises ,7.6,1800,2012,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Supernatural We Need to Talk About Kevin ,7.7,1800,2012,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ghost in the Shell Arise - Border 1: Ghost Pain ,6.7,2580,2012,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Game Change - Der Sarah-Palin-Effekt ,7,2640,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Lego ,7.5,2640,2012,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gomorra ,7.6,2640,2012,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dom Hemingway ,5.8,3120,2012,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Comedy Central Roast of James Franco ,7.2,3300,2012,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Demo Reel ,5.2,3600,2012,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Psychopath Night ,6.9,3600,2012,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
Fruitvale Station ,7,3600,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Glee Wonder-ful ,7,3600,2012,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bob's Burgers Turkey in a Can ,7.1,3600,2012,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Grimm: Bad Hair Day ,7.5,3600,2012,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Lego Marvel Super Heroes ,7.5,3600,2012,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
